Client,Email_Domain,Total_Projects,In_Progress,Completed,Paused,Num_Creators,Region
ENCORD,encord.ai,726,646,37,21,68,
NEURONSINC,neuronsinc.com,99,92,6,1,1,
AUTOMOTUS,automotus.co,92,81,11,0,2,
NOREPLY,noreply.encord.com,63,59,3,0,13,
GRADIUM,gradium.sh,58,16,32,0,2,
EUROCONTROL,eurocontrol.int,48,45,1,0,2,
OSARO,osaro.com,41,40,1,0,2,
MILESTONE,milestone.dk,41,9,27,0,3,
LVT,lvt.com,41,25,12,2,2,
TWELVELABS,twelvelabs.io,31,8,16,0,4,
AGD-SYSTEMS,agd-systems.com,27,27,0,0,1,
SKYDIO,skydio.com,26,18,6,1,6,
GETSPECT,getspect.com,21,21,0,0,1,
1X,1x.tech,20,2,13,5,6,
ASENSUS,asensus.com,18,8,1,3,1,
TELOSHEALTH,teloshealth.com,16,9,7,0,2,
NOVARCTECH,novarctech.com,16,13,0,0,4,
UIPATH,uipath.com,14,9,4,1,4,
AIGEN,aigen.io,13,13,0,0,3,
TRAFFICGROUP,trafficgroup.technology,13,13,0,0,1,
ECHO-ANALYTICS,echo-analytics.io,10,7,0,3,4,
BOSTONDYNAMICS,bostondynamics.com,9,9,0,0,5,
MMIMICRO,mmimicro.com,9,2,6,0,3,
PROXIMIE,proximie.com,9,8,1,0,6,
SURFLINE,surfline.com,9,4,4,1,3,
RIOS,rios.ai,8,8,0,0,2,
STANDARD,standard.ai,8,5,2,0,4,
ZELIM,zelim.co,8,8,0,0,4,
THETATECH,thetatech.ai,7,5,1,0,2,
HOPPR,hoppr.ai,7,7,0,0,1,
PRAHSYS,prahsys.com,7,7,0,0,1,
SERVICE-ACCOUNTS,service-accounts.encord.com,7,7,0,0,4,
UNCHARTEDLABS,unchartedlabs.ai,7,6,1,0,1,
PICKLEROBOT,picklerobot.com,6,4,1,1,4,
ARCHETYPEAI,archetypeai.team,6,3,3,0,1,
NOCAPINC,nocapinc.com,6,6,0,0,1,
ESMARTSYSTEMS,esmartsystems.com,6,6,0,0,2,
AUGMODO,augmodo.com,5,4,0,1,3,
SYNTHESIA,synthesia.io,5,1,3,0,2,
FUTURESSPORT,futuressport.com,4,4,0,0,1,
MOONSURGICAL,moonsurgical.com,4,4,0,0,3,
TERMINAL-INDUSTRIES,terminal-industries.com,4,4,0,0,2,
ZEITVIEW,zeitview.com,4,3,1,0,3,
DYNAROBOTICS,dynarobotics.ai,4,0,3,1,2,
ALUM,alum.mit.edu,3,3,0,0,1,
SLAMCORE,slamcore.com,3,3,0,0,1,
RESHAPEBIOTECH,reshapebiotech.com,3,3,0,0,2,
MAXAR,maxar.com,2,2,0,0,2,
TRI,tri.global,2,2,0,0,1,
ANYBOTICS,anybotics.com,2,2,0,0,1,
MYTHOS-AI,mythos-ai.com,2,2,0,0,2,
FLAWLESSAI,flawlessai.com,2,2,0,0,1,
DELIAN,delian.ai,2,2,0,0,1,
SAFI,safi.co,2,2,0,0,2,
TUMEKE,tumeke.io,2,2,0,0,2,
CORD,cord.tech,2,2,0,0,2,
XTERNAGROUP,xternagroup.com,2,2,0,0,1,
POLIMI,polimi.it,1,1,0,0,1,
NEONMOBILE,neonmobile.com,1,1,0,0,1,
THINKINGMACHINES,thinkingmachines.ai,1,1,0,0,1,
BUZZSOLUTIONS,buzzsolutions.com,1,1,0,0,1,
DATAGARAGE,datagarage.tech,1,1,0,0,1,
UNCOVR,uncovr.ai,1,1,0,0,1,
SPECTER,specter.co,1,1,0,0,1,
NSIGHTSURGICAL,nsightsurgical.ai,1,1,0,0,1,
TAU-ROBOTICS,tau-robotics.com,1,1,0,0,1,
SURGICALVIDEO,surgicalvideo.io,1,1,0,0,1,
RHOMBUS,rhombus.com,1,1,0,0,1,
DAIGNOSE,daignose.com,1,0,0,0,1,
ITERATIVESCOPES,iterativescopes.com,1,1,0,0,1,
DEEPREASONINGAI,deepreasoningai.com,1,1,0,0,1,
